Lat, Lon
30.872425,-120.646032
30.892881,-120.521227
30.913237,-120.396379
30.933494,-120.271488
30.953652,-120.146552
30.973709,-120.021574
30.993668,-119.896553
31.013526,-119.771488
31.033285,-119.646381
31.052945,-119.521232
31.072504,-119.39604
31.091964,-119.270807
31.111324,-119.145531
31.130585,-119.020214
31.149745,-118.894855
31.168805,-118.769455
31.187766,-118.644014
31.206626,-118.518532
31.225386,-118.393009
31.244046,-118.267446
31.262606,-118.141842
31.281066,-118.016198
31.299426,-117.890515
31.317685,-117.764791
31.335844,-117.639028
31.353903,-117.513226
31.371862,-117.387384
31.38972,-117.261504
31.407477,-117.135585
31.425134,-117.009627
31.442691,-116.883631
31.460147,-116.757597
31.477502,-116.631525
31.494757,-116.505415
31.511911,-116.379267
31.528965,-116.253082
31.545917,-116.126861
31.562769,-116.000602
31.579521,-115.874306
31.596171,-115.747974
31.61272,-115.621606
31.629169,-115.495201
31.645516,-115.368761
31.661763,-115.242284
31.677909,-115.115773
31.693953,-114.989226
31.709897,-114.862644
31.725739,-114.736027
31.74148,-114.609375
31.75712,-114.482689
31.772659,-114.355968
31.788097,-114.229214
31.803433,-114.102426
31.818669,-113.975604
31.833802,-113.848748
31.848835,-113.72186
31.863766,-113.594938
31.878595,-113.467983
31.893323,-113.340996
31.90795,-113.213977
31.922475,-113.086925
31.936899,-112.959842
31.951221,-112.832726
31.965441,-112.705579
31.97956,-112.578401
31.993577,-112.451192
32.007493,-112.323952
32.021306,-112.196681
32.035018,-112.069379
32.048629,-111.942047
32.062137,-111.814686
32.075544,-111.687294
32.088848,-111.559873
32.102051,-111.432422
32.115152,-111.304942
32.128151,-111.177434
32.141048,-111.049896
32.153843,-110.92233
32.166537,-110.794735
32.179128,-110.667113
32.191617,-110.539462
32.204003,-110.411784
32.216288,-110.284079
32.228471,-110.156346
32.240551,-110.028586
32.25253,-109.900799
32.264406,-109.772986
32.27618,-109.645146
32.287851,-109.517281
32.29942,-109.389389
32.310887,-109.261471
32.322252,-109.133529
32.333515,-109.00556
32.344674,-108.877567
32.355732,-108.749549
32.366687,-108.621506
32.37754,-108.493439
32.38829,-108.365348
32.398938,-108.237233
32.409483,-108.109094
32.419926,-107.980932
32.430266,-107.852746
32.440504,-107.724537
32.450639,-107.596306
32.460671,-107.468051
32.470601,-107.339775
32.480428,-107.211476
32.490153,-107.083156
32.499774,-106.954813
32.509294,-106.826449
32.51871,-106.698064
32.528024,-106.569658
32.537234,-106.441231
32.546343,-106.312784
32.555348,-106.184316
32.56425,-106.055828
32.57305,-105.92732
32.581747,-105.798792
32.590341,-105.670245
32.598832,-105.541679
32.60722,-105.413093
32.615505,-105.284489
32.623688,-105.155867
32.631767,-105.027226
32.639743,-104.898567
32.647617,-104.76989
32.655387,-104.641195
32.663055,-104.512483
32.670619,-104.383754
32.67808,-104.255008
32.685438,-104.126245
32.692694,-103.997466
32.699846,-103.86867
32.706895,-103.739859
32.713841,-103.611031
32.720683,-103.482189
32.727423,-103.35333
32.73406,-103.224457
32.740593,-103.095569
32.747023,-102.966666
32.75335,-102.837748
32.759574,-102.708817
30.295838,-124.519523
30.319369,-124.39606
30.342803,-124.272548
30.366138,-124.148987
30.389375,-124.025376
30.412514,-123.901716
30.435555,-123.778008
30.458498,-123.654251
30.481342,-123.530445
30.504088,-123.406591
30.526735,-123.282689
30.549284,-123.158739
30.571735,-123.034741
30.594087,-122.910695
30.61634,-122.786602
30.638495,-122.662462
30.660551,-122.538275
30.682508,-122.414041
30.704367,-122.28976
30.726126,-122.165433
30.747787,-122.041059
30.769349,-121.916639
30.790812,-121.792174
30.812175,-121.667662
30.83344,-121.543105
30.854606,-121.418502
30.875672,-121.293855
30.896639,-121.169162
30.917507,-121.044424
30.938276,-120.919642
30.958945,-120.794815
30.979515,-120.669944
30.999985,-120.545029
31.020357,-120.42007
31.040628,-120.295067
31.0608,-120.170021
31.080872,-120.044931
31.100845,-119.919798
31.120718,-119.794623
31.140491,-119.669404
31.160165,-119.544143
31.179738,-119.41884
31.199212,-119.293494
31.218586,-119.168106
31.23786,-119.042677
31.257034,-118.917206
31.276108,-118.791693
31.295082,-118.666139
31.313956,-118.540545
31.33273,-118.414909
31.351403,-118.289233
31.369976,-118.163516
31.388449,-118.037759
31.406822,-117.911963
31.425095,-117.786126
31.443267,-117.660249
31.461338,-117.534333
